,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000029378_Areg,138.7834992,2.062495227,0.605846111,3.40432197,0.000663285,0.009689663
ENSMUSG00000042031_Lce3b,174.4596028,10.28188132,3.024876216,3.399108122,0.00067606,0.009860593
ENSMUSG00000028040_Efna4,131.1980151,0.80085524,0.235796487,3.39638325,0.000682827,0.00992775
ENSMUSG00000054325_Lce3a,173.0568025,10.27024265,3.024881778,3.395254229,0.000685649,0.00994516
ENSMUSG00000095463_Entpd4,1690.57632,-0.708951184,0.208805827,-3.39526532,0.000685621,0.00994516
ENSMUSG00000032012_Nectin1,159.2669998,1.026368401,0.302393639,3.394146799,0.000688428,0.009977584
ENSMUSG00000061353_Cxcl12,3335.611746,-0.777966507,0.229247966,-3.393559042,0.000689907,0.009991135
ENSMUSG00000023034_Nr4a1,980.7050691,-1.133530347,0.334291801,-3.390841006,0.000696785,0.01006255
ENSMUSG00000030830_Itgal,220.6397208,0.62037686,0.182961833,3.390744664,0.00069703,0.01006255
ENSMUSG00000035498_Cdcp1,766.9944981,0.701572824,0.206929033,3.390403052,0.000697899,0.010067184
ENSMUSG00000006390_Elovl1,1101.709029,0.702596168,0.207446825,3.386873565,0.00070694,0.010165647
ENSMUSG00000027347_Rasgrp1,115.199577,0.988477109,0.292006309,3.385122443,0.000711465,0.010214725
ENSMUSG00000023909_Paqr4,602.1324214,0.677954381,0.200311786,3.384495716,0.000713091,0.010215811
ENSMUSG00000031425_Plp1,182.435083,-0.73703308,0.217770406,-3.384450141,0.00071321,0.010215811
ENSMUSG00000013033_Adgrl1,974.9245384,-0.884743287,0.261584882,-3.382241663,0.000718969,0.010290274
ENSMUSG00000008140_Emc10,1590.562659,0.62407924,0.184681853,3.379212572,0.000726938,0.010396229
ENSMUSG00000034282_Evpl,960.4250074,1.328726021,0.393486033,3.376806063,0.000733327,0.010479448
ENSMUSG00000026928_Card9,101.1672911,0.821869389,0.243464928,3.375719839,0.000736228,0.010512724
ENSMUSG00000054889_Dsp,4387.569647,0.820752236,0.243254138,3.37405251,0.000740702,0.01056839
ENSMUSG00000028382_Ptbp3,2207.605116,0.690464854,0.204705394,3.372968538,0.000743624,0.010601845
ENSMUSG00000044317_Gpr4,233.7328329,0.647486159,0.192081485,3.37089314,0.000749249,0.010673749
ENSMUSG00000072946_Ptgr2,1736.184229,-0.679441994,0.20162806,-3.369778966,0.000752285,0.010703513
ENSMUSG00000020331_Hcn2,288.5154579,0.766588022,0.227696988,3.366702518,0.000760727,0.010798428
ENSMUSG00000015093_Clic3,1317.635153,0.757659116,0.225077689,3.366211552,0.000762082,0.01080264
ENSMUSG00000024378_Stard4,209.7945497,0.768148903,0.228202041,3.366091298,0.000762415,0.01080264
ENSMUSG00000034845_Plvap,2678.817514,0.690496976,0.205348038,3.362569142,0.000772208,0.01092454
ENSMUSG00000010066_Cacna2d2,331.4145069,-0.849047006,0.25256824,-3.361653884,0.000774772,0.010935537
ENSMUSG00000030393_Zik1,124.1363105,0.857607873,0.25513247,3.361421902,0.000775423,0.01093632
ENSMUSG00000060227_Casc4,778.3116244,-0.785415385,0.23374629,-3.360119155,0.000779089,0.010979589
ENSMUSG00000019851_Perp,1741.970155,1.128889836,0.336130078,3.358490981,0.000783693,0.011036005
ENSMUSG00000037996_Slc24a2,145.778974,-1.126324518,0.335958551,-3.352569874,0.00080065,0.011221403
ENSMUSG00000096145_Vkorc1,588.4568076,0.583832312,0.174326403,3.349075649,0.000810817,0.011322452
ENSMUSG00000051497_Kcnj16,2462.415418,-0.729332596,0.218057108,-3.344686186,0.000823757,0.011468274
ENSMUSG00000025911_Adhfe1,364.0293546,-1.17267759,0.350700702,-3.343813066,0.000826354,0.011495711
ENSMUSG00000034652_Cd300a,112.5040122,0.882706838,0.264157349,3.341594854,0.000832985,0.011570433
ENSMUSG00000026640_Plxna2,1278.162762,0.789023887,0.236144746,3.341272249,0.000833954,0.011575131
