,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,ensembl_id
ENSMUSG00000048330_Ric3,323.8072827,-0.589674026,0.149945764,-3.932582094,8.40E-05,0.001809138,,ENSMUSG00000048330
ENSMUSG00000039178_Tbc1d19,626.6197098,-0.587706279,0.14951349,-3.930790982,8.47E-05,0.001818406,,ENSMUSG00000039178
ENSMUSG00000039620_Trmt9b,108.320621,-1.123622412,0.287461082,-3.908780986,9.28E-05,0.001971536,,ENSMUSG00000039620
ENSMUSG00000020085_Aifm2,558.2892728,-0.685371191,0.17572067,-3.900344733,9.61E-05,0.002022595,,ENSMUSG00000020085
ENSMUSG00000026827_Gpd2,2121.768036,-0.652348958,0.167343765,-3.898256736,9.69E-05,0.002035639,,ENSMUSG00000026827
ENSMUSG00000021268_Meg3,1152.33823,-1.366240252,0.351112326,-3.891177123,9.98E-05,0.002088798,,ENSMUSG00000021268
ENSMUSG00000030546_Plin1,1147.445794,-1.301741616,0.336032436,-3.87385703,0.000107126,0.002222779,,ENSMUSG00000030546
ENSMUSG00000064367_mt-Nd5,99561.57683,-0.97480707,0.252660609,-3.858167968,0.00011424,0.002357069,,ENSMUSG00000064367
ENSMUSG00000067736_Gm10222,7750.576055,-1.083410786,0.280898971,-3.856941099,0.000114815,0.002366061,,ENSMUSG00000067736
ENSMUSG00000003227_Edar,139.1407561,-1.2065695,0.314591153,-3.835357378,0.000125382,0.002549709,,ENSMUSG00000003227
ENSMUSG00000030110_Ret,846.8658015,-0.81101325,0.212211303,-3.821725041,0.000132521,0.002677107,,ENSMUSG00000030110
ENSMUSG00000052485_Tmem171,438.6842729,-0.858892032,0.22502856,-3.816813432,0.000135186,0.002718977,,ENSMUSG00000052485
ENSMUSG00000018822_Sfrp5,244.690368,-0.924783851,0.242541089,-3.812895599,0.000137348,0.002744422,,ENSMUSG00000018822
ENSMUSG00000030017_Reg3g,575.7400174,-5.553978235,1.464850993,-3.791497062,0.000149742,0.002966247,,ENSMUSG00000030017
ENSMUSG00000020264_Slc36a2,653.0077982,-1.276600693,0.336738809,-3.791070879,0.000149999,0.00296814,,ENSMUSG00000020264
ENSMUSG00000025745_Hadha,4651.727124,-0.618231981,0.163607104,-3.778760009,0.000157611,0.003095417,,ENSMUSG00000025745
ENSMUSG00000039652_Cpeb3,416.6516403,-0.815650578,0.216011064,-3.775966666,0.000159388,0.003126974,,ENSMUSG00000039652
ENSMUSG00000047182_Irs3,140.897186,-0.80351689,0.215034587,-3.736686735,0.000186461,0.003562938,,ENSMUSG00000047182
ENSMUSG00000023019_Gpd1,6076.465315,-1.174925766,0.314791585,-3.73239255,0.00018967,0.00361297,,ENSMUSG00000023019
ENSMUSG00000038777_Sema6c,616.5056432,-1.017777911,0.272936133,-3.728996593,0.000192244,0.003650643,,ENSMUSG00000038777
ENSMUSG00000000805_Car4,165.2521035,-0.85827556,0.23028419,-3.727027717,0.000193751,0.003673937,,ENSMUSG00000000805
ENSMUSG00000030683_Sez6l2,114.2710125,-1.231254665,0.33156508,-3.713463026,0.000204442,0.003846491,,ENSMUSG00000030683
ENSMUSG00000027605_Acss2,1026.833499,-1.115797753,0.300524543,-3.712834043,0.000204951,0.003852119,,ENSMUSG00000027605
ENSMUSG00000047875_Gpr157,534.9446964,-0.695098886,0.187692145,-3.703398909,0.00021273,0.003969879,,ENSMUSG00000047875
ENSMUSG00000024042_Sik1,1492.241479,-0.714016566,0.193092787,-3.697789935,0.000217485,0.004029942,,ENSMUSG00000024042
ENSMUSG00000032177_Pde4a,503.4973048,-0.880689442,0.239669754,-3.674595673,0.000238226,0.004357122,,ENSMUSG00000032177
ENSMUSG00000022040_Ephx2,975.5205519,-0.683444886,0.186203605,-3.670417051,0.000242155,0.004394822,,ENSMUSG00000022040
ENSMUSG00000022053_Ebf2,192.088209,-1.0644211,0.290180687,-3.668132127,0.000244329,0.004424667,,ENSMUSG00000022053
ENSMUSG00000038205_Prkab2,1303.695636,-1.075726719,0.293579352,-3.664177035,0.000248135,0.004480339,,ENSMUSG00000038205
