,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,
ENSMUSG00000018774_Cd68,623.4339949,-1.726723119,0.235400167,-7.335267194,2.21E-13,4.06E-11,,,19,ENSMUSG00000018774
ENSMUSG00000118012_Gm46620,1938.818043,-2.074281432,0.284701723,-7.285805685,3.20E-13,5.81E-11,,,19,ENSMUSG00000118012
ENSMUSG00000023992_Trem2,222.0157415,-2.15234811,0.295625779,-7.280650958,3.32E-13,5.98E-11,,,19,ENSMUSG00000023992
ENSMUSG00000046203_Sprr2g,25.60700633,-6.538069897,0.898551247,-7.276234852,3.43E-13,6.12E-11,,,19,ENSMUSG00000046203
ENSMUSG00000009185_Ccl8,177.1777214,-2.086366324,0.287711542,-7.251590633,4.12E-13,7.27E-11,,,19,ENSMUSG00000009185
ENSMUSG00000062296_Trank1,285.7488832,-1.701434458,0.235175203,-7.234752794,4.66E-13,8.16E-11,,,19,ENSMUSG00000062296
ENSMUSG00000105263_Gm42427,2153.05852,-2.502534133,0.346071278,-7.231267918,4.79E-13,8.29E-11,,,19,ENSMUSG00000105263
ENSMUSG00000068744_Psrc1,74.43519238,-2.097475249,0.291942947,-7.184538176,6.74E-13,1.16E-10,,,19,ENSMUSG00000068744
ENSMUSG00000047759_Hs3st3a1,205.367386,-2.144718005,0.298767243,-7.178558081,7.05E-13,1.20E-10,,,19,ENSMUSG00000047759
ENSMUSG00000030789_Itgax,772.9279179,-1.94283367,0.270848075,-7.173149264,7.33E-13,1.23E-10,,,19,ENSMUSG00000030789
ENSMUSG00000069763_Tmem100,803.6617271,-2.001434385,0.27945278,-7.161977009,7.95E-13,1.33E-10,,,19,ENSMUSG00000069763
ENSMUSG00000005958_Ephb3,379.2407614,-1.995851252,0.278865738,-7.157032863,8.24E-13,1.36E-10,,,19,ENSMUSG00000005958
ENSMUSG00000036523_Greb1,368.8091279,2.148100665,0.300665813,7.144479268,9.03E-13,1.48E-10,,,19,ENSMUSG00000036523
ENSMUSG00000079391_Gm2974,26.8371325,-6.106785029,0.857272351,-7.123506344,1.05E-12,1.71E-10,,,19,ENSMUSG00000079391
ENSMUSG00000040724_Kcna2,171.2593297,2.030634868,0.285359077,7.116068953,1.11E-12,1.79E-10,,,19,ENSMUSG00000040724
ENSMUSG00000040133_Gpr176,44.05435404,-2.744782701,0.386584534,-7.100084089,1.25E-12,1.99E-10,,,19,ENSMUSG00000040133
ENSMUSG00000033213_AA467197,54.58314745,-3.690871316,0.521352764,-7.079412586,1.45E-12,2.29E-10,,,19,ENSMUSG00000033213
ENSMUSG00000057766_Ankrd29,115.185866,-1.781291707,0.25200373,-7.068513258,1.57E-12,2.46E-10,,,19,ENSMUSG00000057766
ENSMUSG00000029859_Epha1,795.3851536,-1.544394801,0.219104505,-7.048667487,1.81E-12,2.80E-10,,,19,ENSMUSG00000029859
ENSMUSG00000086938_4930481A15Rik,69.59188185,3.260059069,0.46255281,7.047971597,1.82E-12,2.80E-10,,,19,ENSMUSG00000086938
ENSMUSG00000035493_Tgfbi,2968.58144,-2.10998003,0.299722188,-7.0397859,1.93E-12,2.95E-10,,,19,ENSMUSG00000035493
ENSMUSG00000021747_4930452B06Rik,169.6546435,1.710617032,0.243168237,7.0347059,2.00E-12,3.03E-10,,,19,ENSMUSG00000021747
ENSMUSG00000021939_Ctsb,23401.29185,-1.145081822,0.162901468,-7.02929099,2.08E-12,3.12E-10,,,19,ENSMUSG00000021939
ENSMUSG00000003617_Cp,4280.428955,-1.208888751,0.172226321,-7.019186995,2.23E-12,3.33E-10,,,19,ENSMUSG00000003617
ENSMUSG00000046532_Ar,510.8673367,1.143466518,0.164815663,6.937851021,3.98E-12,5.90E-10,,,19,ENSMUSG00000046532
ENSMUSG00000044103_Il1f9,57.00465596,-7.559343585,1.09146659,-6.925858888,4.33E-12,6.37E-10,,,19,ENSMUSG00000044103
ENSMUSG00000000385_Tmprss2,3269.578357,-1.216177853,0.175812509,-6.917470551,4.60E-12,6.70E-10,,,19,ENSMUSG00000000385
ENSMUSG00000027656_Ccn5,152.4093844,-2.709448521,0.392317844,-6.906258688,4.98E-12,7.14E-10,,,19,ENSMUSG00000027656
ENSMUSG00000051669_AU021092,5572.316543,-1.319903011,0.19109253,-6.907140797,4.95E-12,7.14E-10,,,19,ENSMUSG00000051669
ENSMUSG00000073411_H2-D1,13982.06571,-0.889210391,0.128962582,-6.895103832,5.38E-12,7.66E-10,,,19,ENSMUSG00000073411
ENSMUSG00000022372_Sla,780.3538423,-1.834087445,0.266250755,-6.888571812,5.64E-12,7.96E-10,,,19,ENSMUSG00000022372
ENSMUSG00000056553_Ptprn2,83.12730543,3.120721427,0.453606869,6.879793136,5.99E-12,8.40E-10,,,19,ENSMUSG00000056553
ENSMUSG00000020553_Pctp,498.9343288,-1.026686692,0.149493013,-6.867790467,6.52E-12,9.07E-10,,,19,ENSMUSG00000020553
ENSMUSG00000010529_Gm266,54.92416388,-4.222667179,0.616048259,-6.854442197,7.16E-12,9.80E-10,,,19,ENSMUSG00000010529
ENSMUSG00000013846_St3gal1,1719.964107,-1.484093079,0.216544849,-6.853513645,7.21E-12,9.80E-10,,,19,ENSMUSG00000013846
ENSMUSG00000027401_Tgm3,1362.769442,-9.195128373,1.341433466,-6.854703275,7.15E-12,9.80E-10,,,19,ENSMUSG00000027401
ENSMUSG00000092572_Serpinb10,61.08589624,-4.054719981,0.59371546,-6.829399359,8.53E-12,1.15E-09,,,19,ENSMUSG00000092572
ENSMUSG00000071489_Ptgdr,97.76723911,-5.011145139,0.736494998,-6.804045046,1.02E-11,1.36E-09,,,19,ENSMUSG00000071489
ENSMUSG00000079388_2610042L04Rik,22.19125257,-6.59523579,0.97160557,-6.787976516,1.14E-11,1.51E-09,,,19,ENSMUSG00000079388
ENSMUSG00000046275_Trarg1,307.0388819,1.603462704,0.236281771,6.786231116,1.15E-11,1.52E-09,,,19,ENSMUSG00000046275
ENSMUSG00000003882_Il7r,203.9406679,-1.731979921,0.256357991,-6.756098819,1.42E-11,1.85E-09,,,19,ENSMUSG00000003882
ENSMUSG00000021728_Emb,2556.600159,-0.714792789,0.105808194,-6.755552313,1.42E-11,1.85E-09,,,19,ENSMUSG00000021728
ENSMUSG00000091002_Tcerg1l,29.21992216,3.32897044,0.493129382,6.750703902,1.47E-11,1.90E-09,,,19,ENSMUSG00000091002
ENSMUSG00000001131_Timp1,134.284623,-2.458945481,0.364372911,-6.748431084,1.49E-11,1.92E-09,,,19,ENSMUSG00000001131
ENSMUSG00000026832_Cytip,262.5002997,-1.588005936,0.235398935,-6.746020049,1.52E-11,1.94E-09,,,19,ENSMUSG00000026832
ENSMUSG00000028327_Stra6l,23.35237557,-3.859405302,0.574626793,-6.716368521,1.86E-11,2.36E-09,,,19,ENSMUSG00000028327
ENSMUSG00000094634_Gm3468,49.23068993,-2.708114439,0.404573314,-6.693754492,2.18E-11,2.74E-09,,,19,ENSMUSG00000094634
ENSMUSG00000023067_Cdkn1a,1696.661955,-1.192747102,0.178611474,-6.677886227,2.42E-11,3.03E-09,,,19,ENSMUSG00000023067
ENSMUSG00000030862_Cpxm2,760.9823802,-1.191539202,0.178886668,-6.66086084,2.72E-11,3.38E-09,,,19,ENSMUSG00000030862
ENSMUSG00000031284_Pak3,302.1845661,-2.101529524,0.316107503,-6.648148194,2.97E-11,3.66E-09,,,19,ENSMUSG00000031284
ENSMUSG00000029322_Plac8,288.501862,-1.333148994,0.200955766,-6.634042017,3.27E-11,4.00E-09,,,19,ENSMUSG00000029322
ENSMUSG00000019899_Lama2,782.624472,0.968264852,0.145983128,6.632717514,3.30E-11,4.01E-09,,,19,ENSMUSG00000019899
ENSMUSG00000049382_Krt8,8738.71883,-1.321851884,0.200044501,-6.607789148,3.90E-11,4.71E-09,,,19,ENSMUSG00000049382
ENSMUSG00000037306_Man1c1,600.68964,0.78489869,0.11901524,6.594942701,4.25E-11,5.11E-09,,,19,ENSMUSG00000037306
ENSMUSG00000043165_Lor,1321.230624,-9.167122571,1.391265485,-6.5890534,4.43E-11,5.28E-09,,,19,ENSMUSG00000043165
ENSMUSG00000043557_Mdga1,206.3293897,1.427706937,0.216737035,6.587277246,4.48E-11,5.31E-09,,,19,ENSMUSG00000043557
ENSMUSG00000033061_Resp18,127.2259026,3.150394831,0.479211439,6.574122763,4.89E-11,5.76E-09,,,19,ENSMUSG00000033061
ENSMUSG00000025232_Hexa,4981.740374,-1.072752091,0.163582115,-6.5578813,5.46E-11,6.38E-09,,,19,ENSMUSG00000025232
ENSMUSG00000024743_Syt7,190.5767961,2.09477133,0.320259552,6.540855115,6.12E-11,7.11E-09,,,19,ENSMUSG00000024743
ENSMUSG00000000247_Lhx2,39.21160811,-4.79097742,0.735399142,-6.514798763,7.28E-11,8.39E-09,,,19,ENSMUSG00000000247
ENSMUSG00000047798_Cd300lf,34.66081434,-3.476082283,0.533621011,-6.514140586,7.31E-11,8.39E-09,,,19,ENSMUSG00000047798
ENSMUSG00000038147_Cd84,245.9404608,-1.70115062,0.261544791,-6.504242016,7.81E-11,8.91E-09,,,19,ENSMUSG00000038147
ENSMUSG00000024737_Slc15a3,173.57588,-1.623210902,0.249805819,-6.497890682,8.15E-11,9.23E-09,,,19,ENSMUSG00000024737
ENSMUSG00000039269_2300002M23Rik,181.1388861,-7.06583837,1.088546441,-6.491076637,8.52E-11,9.60E-09,,,19,ENSMUSG00000039269
ENSMUSG00000031004_Mki67,236.4360905,-1.685797168,0.259759594,-6.489836019,8.59E-11,9.61E-09,,,19,ENSMUSG00000031004
ENSMUSG00000032511_Scn5a,111.550264,-2.844113741,0.438293498,-6.489062135,8.64E-11,9.61E-09,,,19,ENSMUSG00000032511
ENSMUSG00000063193_Cd300lb,68.44907578,-1.735511664,0.267901509,-6.478170545,9.28E-11,1.03E-08,,,19,ENSMUSG00000063193
ENSMUSG00000091568_Gm8206,28.15468885,-4.45605276,0.68822264,-6.474725617,9.50E-11,1.04E-08,,,19,ENSMUSG00000091568
ENSMUSG00000040035_Disp2,47.50168048,2.308454837,0.357811113,6.451601853,1.11E-10,1.21E-08,,,19,ENSMUSG00000040035
ENSMUSG00000030579_Tyrobp,506.5513837,-1.588844179,0.246679862,-6.440915622,1.19E-10,1.29E-08,,,19,ENSMUSG00000030579
ENSMUSG00000091275_Gm3248,29.55647336,-3.474879463,0.539609478,-6.439619024,1.20E-10,1.29E-08,,,19,ENSMUSG00000091275
ENSMUSG00000115190_Gm49542,31.55295837,2.987954746,0.465900361,6.413291334,1.42E-10,1.53E-08,,,19,ENSMUSG00000115190
ENSMUSG00000074199_Krtdap,1108.76816,-10.26847736,1.604038738,-6.401639261,1.54E-10,1.64E-08,,,19,ENSMUSG00000074199
ENSMUSG00000043857_Mgat5b,20.95516674,3.995253393,0.624610492,6.396391744,1.59E-10,1.69E-08,,,19,ENSMUSG00000043857
ENSMUSG00000040860_Crocc,284.9081426,1.483696196,0.232061386,6.393550536,1.62E-10,1.71E-08,,,19,ENSMUSG00000040860
ENSMUSG00000027513_Pck1,2029.306681,2.036980338,0.31892097,6.387100658,1.69E-10,1.77E-08,,,19,ENSMUSG00000027513
ENSMUSG00000000982_Ccl3,50.23910058,-3.797504622,0.594642483,-6.386197981,1.70E-10,1.77E-08,,,19,ENSMUSG00000000982
ENSMUSG00000003949_Hlf,255.7148012,1.533572612,0.240569173,6.374767765,1.83E-10,1.90E-08,,,19,ENSMUSG00000003949
