,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,ensembl_id
ENSMUSG00000046731_Kctd11,376.1758771,0.782762999,0.271523808,2.882852167,0.003940923,0.037835493,,ENSMUSG00000046731
ENSMUSG00000021340_Gpld1,244.7425763,1.431003717,0.496828219,2.880278661,0.003973238,0.038079631,,ENSMUSG00000021340
ENSMUSG00000060586_H2-Eb1,4550.948069,0.655859,0.227851869,2.87844468,0.003996414,0.03822195,,ENSMUSG00000060586
ENSMUSG00000022221_Ripk3,117.5409103,1.018552995,0.354448918,2.873624221,0.004057915,0.038689245,,ENSMUSG00000022221
ENSMUSG00000067006_Serpinb5,164.490979,4.350078153,1.517282977,2.86701836,0.00414359,0.039220999,,ENSMUSG00000067006
ENSMUSG00000085472_Gm15691,103.9736234,1.375366366,0.479857981,2.866194626,0.004154388,0.039282707,,ENSMUSG00000085472
ENSMUSG00000031647_Mfap3l,527.7248512,0.996538914,0.348038362,2.863301932,0.004192508,0.039521064,,ENSMUSG00000031647
ENSMUSG00000056632_Dsg3,146.1626425,5.251702143,1.838229039,2.856935687,0.004277525,0.040101528,,ENSMUSG00000056632
ENSMUSG00000030793_Pycard,421.4998565,0.7302644,0.256005282,2.852536458,0.004337184,0.040469362,,ENSMUSG00000030793
ENSMUSG00000048779_P2ry6,174.9351326,0.70576052,0.24759146,2.850504291,0.004364996,0.040690543,,ENSMUSG00000048779
ENSMUSG00000039676_Capsl,216.9047119,0.693561525,0.243710851,2.845837694,0.004429477,0.041142376,,ENSMUSG00000039676
ENSMUSG00000087150_BC064078,114.5112253,1.060347207,0.372775219,2.84446807,0.004448564,0.041236239,,ENSMUSG00000087150
ENSMUSG00000021123_Rdh12,125.0001946,1.577783797,0.554780657,2.843977663,0.004455417,0.041278923,,ENSMUSG00000021123
ENSMUSG00000015890_Amdhd1,438.8103299,0.683366165,0.240364307,2.843043429,0.004468498,0.041316733,,ENSMUSG00000015890
ENSMUSG00000042787_Exog,155.924607,0.652213321,0.229380845,2.843364366,0.004464,0.041316733,,ENSMUSG00000042787
ENSMUSG00000032184_Lysmd2,239.3998246,0.706814343,0.248733445,2.841653811,0.00448802,0.041455486,,ENSMUSG00000032184
ENSMUSG00000025481_Urah,105.3040608,1.090578221,0.384521874,2.836192927,0.004565486,0.041997934,,ENSMUSG00000025481
ENSMUSG00000021638_Ocln,555.76906,0.599571694,0.211496796,2.834897295,0.004584042,0.042130512,,ENSMUSG00000021638
ENSMUSG00000066861_Oas1g,110.287083,0.691784939,0.244716168,2.826886939,0.004700292,0.042941026,,ENSMUSG00000066861
ENSMUSG00000031465_Angpt2,129.7044657,1.187240427,0.420382483,2.824191003,0.004740013,0.043196454,,ENSMUSG00000031465
ENSMUSG00000053626_Tll1,109.4005301,0.667980477,0.236900258,2.819669689,0.004807311,0.043614943,,ENSMUSG00000053626
ENSMUSG00000073421_H2-Ab1,4147.423002,0.627483869,0.222884479,2.815287413,0.004873363,0.044040138,,ENSMUSG00000073421
ENSMUSG00000026077_Npas2,499.9922709,0.795995838,0.28295806,2.813123036,0.004906287,0.044250568,,ENSMUSG00000026077
ENSMUSG00000037411_Serpine1,155.2110456,1.024719089,0.364572089,2.810744762,0.004942698,0.04451337,,ENSMUSG00000037411
ENSMUSG00000018168_Ikzf3,111.5712403,1.066129566,0.380156904,2.804446148,0.005040311,0.045170925,,ENSMUSG00000018168
ENSMUSG00000087141_Plcxd2,128.2017047,0.831674665,0.296915628,2.801047123,0.005093708,0.04547193,,ENSMUSG00000087141
ENSMUSG00000005410_Mcm5,147.0479226,0.691381845,0.246996383,2.799157768,0.00512361,0.045648848,,ENSMUSG00000005410
ENSMUSG00000046718_Bst2,412.4472356,0.588012463,0.210213632,2.797213761,0.005154542,0.045806114,,ENSMUSG00000046718
ENSMUSG00000030589_Rasgrp4,119.6869865,0.693515629,0.248023029,2.796174337,0.00517115,0.045829065,,ENSMUSG00000030589
ENSMUSG00000018581_Dnah11,179.2034398,1.216080412,0.435237334,2.794062726,0.005205038,0.046018351,,ENSMUSG00000018581
ENSMUSG00000061126_Cyp4f39,127.1580822,1.539634807,0.551801748,2.790195597,0.005267621,0.046415221,,ENSMUSG00000061126
ENSMUSG00000028108_Ecm1,1367.254403,0.940863429,0.337818523,2.785114982,0.005350874,0.046901245,,ENSMUSG00000028108
ENSMUSG00000040714_Klc3,355.4475927,0.750060107,0.269895718,2.779073753,0.005451415,0.047491693,,ENSMUSG00000040714
ENSMUSG00000013766_Ly6g6e,134.6910785,0.983615969,0.354257169,2.776559108,0.005493764,0.047788724,,ENSMUSG00000013766
ENSMUSG00000039238_Zfp750,511.9369776,0.701215715,0.252804455,2.773747461,0.005541468,0.048021695,,ENSMUSG00000039238
ENSMUSG00000030772_Dkk3,369.3605662,0.906437057,0.327082304,2.771281249,0.005583618,0.048273055,,ENSMUSG00000030772
ENSMUSG00000022947_Cbr3,305.2300479,0.757710594,0.274017164,2.765193917,0.005688897,0.04892984,,ENSMUSG00000022947
ENSMUSG00000040212_Emp3,282.3318285,0.712873012,0.257877833,2.764382673,0.005703061,0.049028705,,ENSMUSG00000040212
ENSMUSG00000025888_Casp1,130.8473741,0.842903968,0.304955981,2.76401848,0.005709431,0.049060493,,ENSMUSG00000025888
ENSMUSG00000042743_Sgtb,183.7088583,0.915601137,0.331506433,2.761940787,0.00574589,0.049304568,,ENSMUSG00000042743
ENSMUSG00000028044_Cks1b,148.5188366,0.604313154,0.218965249,2.75985873,0.005782636,0.04950514,,ENSMUSG00000028044
ENSMUSG00000042029_Ncapg2,136.4474486,0.586391708,0.212590094,2.758320943,0.005809912,0.04966826,,ENSMUSG00000042029
ENSMUSG00000035208_Slfn8,127.2706786,0.624688625,0.226605897,2.756718311,0.005838462,0.049819556,,ENSMUSG00000035208
ENSMUSG00000025372_Baiap2,964.0253376,0.863959934,0.31345978,2.756206667,0.005847604,0.049874383,,ENSMUSG00000025372
ENSMUSG00000021823_Vcl,2188.000387,0.755264583,0.274195503,2.754474724,0.005878643,0.049972773,,ENSMUSG00000021823
