,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DPYD,321.3737976,-2.040646477,0.208795582,-9.773417872,1.46E-22,9.96E-20
D830030K20RIK,53.07895304,5.413415786,0.557226694,9.714925437,2.60E-22,1.71E-19
LGALS3,2266.815319,2.674515887,0.27882307,9.592161388,8.63E-22,5.46E-19
COL25A1,251.7726189,3.537908912,0.3743844,9.44993678,3.39E-21,2.08E-18
GM10409,45.66004263,5.658525133,0.60168925,9.404397919,5.23E-21,3.10E-18
ANXA1,9105.212473,2.487206738,0.265761228,9.358802103,8.06E-21,4.63E-18
GM3020,43.17862378,5.608075542,0.599977903,9.347136805,9.01E-21,5.01E-18
ATP2B2,267.9884786,3.881395403,0.41565301,9.338066393,9.81E-21,5.30E-18
ZNF41-PS,79.12802807,-3.109693171,0.337169887,-9.222926745,2.89E-20,1.52E-17
SERPINB9,1031.96042,1.36719569,0.148404565,9.212625573,3.18E-20,1.62E-17
GM8281,42.19463296,4.951504717,0.54606674,9.06758158,1.22E-19,6.04E-17
BCL2A1B,149.8010931,2.363512942,0.26299848,8.986793172,2.55E-19,1.23E-16
LCN2,217.4338992,3.716762975,0.414210561,8.973124599,2.88E-19,1.36E-16
GRP,1344.69954,2.930727757,0.327226336,8.956271051,3.36E-19,1.51E-16
CCL22,160.7611408,3.47483842,0.388007043,8.955606562,3.38E-19,1.51E-16
SERPINB3A,490.1115304,27.02507672,3.026235737,8.930261575,4.25E-19,1.86E-16
CLEC7A,427.6568295,2.508287244,0.281157061,8.921302687,4.61E-19,1.97E-16
GM3002,45.07100093,5.766704089,0.650492766,8.865131771,7.64E-19,3.19E-16
PTGS1,598.3137742,1.878053565,0.212667,8.830959032,1.04E-18,4.23E-16
SNX31,241.9926214,-3.115376762,0.355054034,-8.774373645,1.72E-18,6.71E-16
CPA4,308.1373542,2.400723518,0.273543211,8.776395919,1.69E-18,6.71E-16
CTSD,28989.28293,0.999283983,0.114494526,8.727788277,2.60E-18,9.94E-16
CDA,91.09814811,2.829785184,0.325220083,8.701139109,3.29E-18,1.23E-15
GPR39,35.42609092,4.085302739,0.470069423,8.690849771,3.60E-18,1.32E-15
LILR4B,521.2772445,2.177384831,0.251322301,8.663715175,4.57E-18,1.64E-15
SLC34A2,593.5277088,3.912321904,0.454297452,8.611806848,7.19E-18,2.54E-15
CXCL2,30.81905663,4.576091596,0.535448782,8.546273239,1.27E-17,4.40E-15
FADS2,715.8221936,-1.382126187,0.162129094,-8.524849876,1.53E-17,5.20E-15
SLC22A21,211.3421743,2.144296348,0.255387205,8.396255986,4.61E-17,1.54E-14
EFEMP1,1734.867483,1.20400344,0.145309297,8.285797696,1.17E-16,3.85E-14
CHGB,215.0282178,-3.304878975,0.399413783,-8.274323801,1.29E-16,4.16E-14
IL18R1,1674.839331,1.331223669,0.161206981,8.257853744,1.48E-16,4.70E-14
KANK4,407.5963398,1.777734525,0.217192265,8.185072913,2.72E-16,8.47E-14
SCG5,6360.178253,1.915209272,0.235631736,8.127976754,4.37E-16,1.34E-13
TMEM35A,869.5286785,2.332956335,0.28715972,8.12424644,4.50E-16,1.36E-13
FERMT1,170.2411164,2.215791538,0.27336489,8.105618613,5.25E-16,1.55E-13
GSTA3,1584.403231,1.413203184,0.174553093,8.096122257,5.67E-16,1.65E-13
PARVB,933.8409242,-1.141493998,0.141786655,-8.050785875,8.23E-16,2.36E-13
TREM1,43.43226538,4.040983977,0.505416832,7.995349032,1.29E-15,3.65E-13
THEM5,264.6630378,6.114568882,0.765494036,7.987742024,1.37E-15,3.82E-13
GM10406,31.97589289,4.277169946,0.537838693,7.952514384,1.83E-15,5.01E-13
2510039O18RIK,1339.53101,0.813674699,0.102596874,7.930794235,2.18E-15,5.88E-13
GM49339,246.6273279,2.653503204,0.334850188,7.924448889,2.29E-15,6.10E-13
CLEC4D,50.81923635,4.406874827,0.556291519,7.92188031,2.34E-15,6.14E-13
NECTIN3,272.9649998,2.005776142,0.255307487,7.856315413,3.96E-15,1.02E-12
SCN9A,58.24391945,-4.543798266,0.579988699,-7.834287594,4.72E-15,1.20E-12
CFAP52,216.1978659,-1.834122964,0.234676097,-7.815550819,5.47E-15,1.38E-12
CCL6,1476.226974,2.410779258,0.308782033,7.80738191,5.84E-15,1.45E-12
PDLIM1,1499.162573,1.415631352,0.181611626,7.794827792,6.45E-15,1.58E-12
SPRR1A,470.6203673,7.577551779,0.973490318,7.783900506,7.03E-15,1.70E-12
UPK3BL,433.5827089,3.224935409,0.414696215,7.776621285,7.45E-15,1.77E-12
CCL17,106.0884286,4.686231206,0.602801092,7.774092103,7.60E-15,1.77E-12
SPHK1,269.6394289,3.244321532,0.41734169,7.773777725,7.62E-15,1.77E-12
TCN2,6326.442234,1.226948083,0.158590005,7.736604094,1.02E-14,2.34E-12
PLEK,393.9468705,1.542924845,0.200336734,7.701657168,1.34E-14,3.04E-12
MFGE8,3379.846896,1.330984793,0.173254322,7.682260255,1.56E-14,3.50E-12
SOD3,3629.326407,1.829940711,0.238619703,7.668858404,1.74E-14,3.84E-12
PCSK2,761.7686499,-3.006531236,0.393405665,-7.642318096,2.13E-14,4.66E-12
MALT1,1004.913953,1.555374134,0.203678688,7.636410818,2.23E-14,4.83E-12
GM43305,1503.557499,2.125623522,0.280115799,7.58837427,3.24E-14,6.92E-12
ARL4C,609.6281385,1.810926489,0.239043593,7.575716496,3.57E-14,7.54E-12
NNAT,178.1838741,-2.676267474,0.356265382,-7.512005392,5.82E-14,1.22E-11
CXCL3,29.30663307,7.591432669,1.012343869,7.498867632,6.44E-14,1.33E-11
CCN4,4203.097378,-1.460322996,0.194861616,-7.494154199,6.67E-14,1.36E-11
ACPP,895.7557036,2.280294106,0.304326506,7.492919799,6.74E-14,1.36E-11
EDDM3B,301.3485003,-1.523837683,0.204682518,-7.44488438,9.70E-14,1.94E-11
SCG3,284.8946741,-2.736347777,0.36821699,-7.431345784,1.07E-13,2.12E-11
DHCR24,1637.857121,1.555168666,0.209422514,7.425986038,1.12E-13,2.19E-11
SORCS2,423.1004013,-1.261054718,0.170800795,-7.383189973,1.55E-13,2.99E-11
UBD,85.52866627,2.935193539,0.397820309,7.378189282,1.60E-13,3.07E-11
GM47015,35.03510945,3.450284644,0.468038623,7.371794709,1.68E-13,3.19E-11
JAG1,1012.200974,1.007610497,0.137326799,7.337318749,2.18E-13,4.06E-11
ELMOD1,126.7310922,2.794470578,0.380889547,7.336695372,2.19E-13,4.06E-11
CD68,623.4339949,1.726723119,0.235400167,7.335267194,2.21E-13,4.06E-11
GM46620,1938.818043,2.074281432,0.284701723,7.285805685,3.20E-13,5.81E-11
TREM2,222.0157415,2.15234811,0.295625779,7.280650958,3.32E-13,5.98E-11
SPRR2G,25.60700633,6.538069897,0.898551247,7.276234852,3.43E-13,6.12E-11
CCL8,177.1777214,2.086366324,0.287711542,7.251590633,4.12E-13,7.27E-11
TRANK1,285.7488832,1.701434458,0.235175203,7.234752794,4.66E-13,8.16E-11
GM42427,2153.05852,2.502534133,0.346071278,7.231267918,4.79E-13,8.29E-11
PSRC1,74.43519238,2.097475249,0.291942947,7.184538176,6.74E-13,1.16E-10
HS3ST3A1,205.367386,2.144718005,0.298767243,7.178558081,7.05E-13,1.20E-10
ITGAX,772.9279179,1.94283367,0.270848075,7.173149264,7.33E-13,1.23E-10
TMEM100,803.6617271,2.001434385,0.27945278,7.161977009,7.95E-13,1.33E-10
EPHB3,379.2407614,1.995851252,0.278865738,7.157032863,8.24E-13,1.36E-10
GREB1,368.8091279,-2.148100665,0.300665813,-7.144479268,9.03E-13,1.48E-10
GM2974,26.8371325,6.106785029,0.857272351,7.123506344,1.05E-12,1.71E-10
KCNA2,171.2593297,-2.030634868,0.285359077,-7.116068953,1.11E-12,1.79E-10
GPR176,44.05435404,2.744782701,0.386584534,7.100084089,1.25E-12,1.99E-10
