"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2300002M23Rik",181.1388861,7.06583837,1.088546441,6.491076637,8.52e-11,9.6e-09
"Mki67",236.4360905,1.685797168,0.259759594,6.489836019,8.59e-11,9.61e-09
"Scn5a",111.550264,2.844113741,0.438293498,6.489062135,8.64e-11,9.61e-09
"Cd300lb",68.44907578,1.735511664,0.267901509,6.478170545,9.28e-11,1.03e-08
"Gm8206",28.15468885,4.45605276,0.68822264,6.474725617,9.5e-11,1.04e-08
"Disp2",47.50168048,-2.308454837,0.357811113,-6.451601853,1.11e-10,1.21e-08
"Tyrobp",506.5513837,1.588844179,0.246679862,6.440915622,1.19e-10,1.29e-08
"Gm3248",29.55647336,3.474879463,0.539609478,6.439619024,1.2e-10,1.29e-08
"Gm49542",31.55295837,-2.987954746,0.465900361,-6.413291334,1.42e-10,1.53e-08
"Krtdap",1108.76816,10.26847736,1.604038738,6.401639261,1.54e-10,1.64e-08
"Mgat5b",20.95516674,-3.995253393,0.624610492,-6.396391744,1.59e-10,1.69e-08
"Crocc",284.9081426,-1.483696196,0.232061386,-6.393550536,1.62e-10,1.71e-08
"Pck1",2029.306681,-2.036980338,0.31892097,-6.387100658,1.69e-10,1.77e-08
"Ccl3",50.23910058,3.797504622,0.594642483,6.386197981,1.7e-10,1.77e-08
"Hlf",255.7148012,-1.533572612,0.240569173,-6.374767765,1.83e-10,1.9e-08
"Gm3739",27.58700848,3.484755455,0.547163891,6.368759908,1.91e-10,1.97e-08
"Itgb2",767.6850871,1.691870133,0.266110141,6.357781501,2.05e-10,2.1e-08
"Insrr",100.4248338,-3.212090376,0.505413435,-6.355371964,2.08e-10,2.12e-08
"Ccl9",734.0981784,1.897348416,0.298706791,6.351875733,2.13e-10,2.16e-08
"Fam171a2",721.5719333,1.093162884,0.172322086,6.343718964,2.24e-10,2.26e-08
"Cacnb2",75.13711551,1.625970373,0.256444441,6.340439144,2.29e-10,2.3e-08
"Cckar",46.77328174,-4.049992769,0.639884834,-6.329252634,2.46e-10,2.46e-08
"Lsr",1519.45474,0.894358493,0.141537704,6.318870987,2.63e-10,2.62e-08
"Fam184a",123.4876159,-2.106220608,0.333546966,-6.314614798,2.71e-10,2.67e-08
"Vmp1",2608.313207,0.795458113,0.126412712,6.29254844,3.12e-10,3.03e-08
"Ctss",2918.684726,1.538923401,0.244502392,6.294103666,3.09e-10,3.03e-08
"Gm42047",1207.356137,1.568916953,0.24929811,6.293336735,3.11e-10,3.03e-08
"Ascl1",114.8365626,-2.911000907,0.463270747,-6.283584554,3.31e-10,3.2e-08
"Amigo1",1053.657482,-0.676789166,0.10776798,-6.280057993,3.38e-10,3.25e-08
"Syk",400.4014944,1.014730836,0.161972608,6.26482989,3.73e-10,3.57e-08
"Tubb6",747.9468125,1.471775472,0.235067163,6.261084929,3.82e-10,3.64e-08
"Fezf2",80.09260376,4.125426044,0.659495118,6.255430753,3.96e-10,3.75e-08
"Gm15987",20.83184579,3.348149138,0.53630535,6.242990372,4.29e-10,4.04e-08
"Capg",2450.003155,1.288126512,0.206550048,6.236389304,4.48e-10,4.2e-08
"Slc6a4",45.06488558,3.538602445,0.568215324,6.227573062,4.74e-10,4.42e-08
"Sinhcaf",182.8232172,1.274136003,0.205236138,6.208146443,5.36e-10,4.97e-08
"Cdca7l",1505.84832,1.376314269,0.221834802,6.204230618,5.5e-10,5.07e-08
"Anxa2",8539.177746,1.195232028,0.192748959,6.200977881,5.61e-10,5.15e-08
"Ect2l",22.61455332,-3.728783375,0.601531124,-6.198820349,5.69e-10,5.2e-08
"Ccr1",79.80711404,2.387850082,0.38589545,6.187816109,6.1e-10,5.55e-08
"Gm5796",19.23869664,6.014818654,0.97284241,6.182726607,6.3e-10,5.7e-08
"Srgn",630.3287043,0.862298201,0.139709302,6.172088675,6.74e-10,6.07e-08
"Sema3a",133.1952359,2.31565768,0.376905169,6.143873497,8.05e-10,7.21e-08
"S100a6",2074.298551,1.53376389,0.250222088,6.129610303,8.81e-10,7.85e-08
"Plat",583.0996793,1.372316386,0.223963936,6.127398944,8.93e-10,7.92e-08
"Plb1",125.4300278,1.871207742,0.306648067,6.102134485,1.05e-09,9.24e-08
"Myo1g",226.780509,1.250199677,0.205006506,6.098341477,1.07e-09,9.42e-08
"Pnoc",78.3220051,-3.605782905,0.592513942,-6.085566342,1.16e-09,1.02e-07
"Sfn",1134.620633,1.801940839,0.296155146,6.084448861,1.17e-09,1.02e-07
"Gm3411",19.42501857,4.735635013,0.779270601,6.077009714,1.22e-09,1.06e-07
"Krt18",3498.807614,1.155600592,0.190215713,6.075211011,1.24e-09,1.07e-07
"Hoxb5",63.57029183,1.962444534,0.324353333,6.050329485,1.45e-09,1.23e-07
"Pcsk1n",58.89800017,-2.64997153,0.437960809,-6.050704714,1.44e-09,1.23e-07
"Ifi44",181.2140318,1.511839769,0.250038834,6.046419839,1.48e-09,1.26e-07
"Trim67",61.3477991,-2.578415682,0.42684169,-6.040683799,1.53e-09,1.3e-07
"Hddc3",262.9263226,0.944853235,0.156775129,6.026805657,1.67e-09,1.41e-07
"Tnfsf8",23.5035975,2.74162305,0.456141225,6.010469785,1.85e-09,1.55e-07
"Slpi",964.2751332,8.389454951,1.396712193,6.006573861,1.89e-09,1.58e-07
"Gm29260",89.59653667,1.603328164,0.267184894,6.000818919,1.96e-09,1.63e-07
"C3ar1",312.5948024,1.304900356,0.217531287,5.998678976,1.99e-09,1.65e-07
